Ensembl_gene_id,Ensembl_transcript_id,Gnomad_oe_lof_score,Gnomad_oe_ci_lower,Gnomad_oe_ci_upper,Gnomad_pLI_score,Gnomad_pnull_score,Gnomad_prec_score,Gnomad_oe_mis_score,Gnomad_mis_z_score
ENSG00000121410,ENST00000263100,0.95603,0.75098,1.2292,6.7352e-15,0.61708,0.38292,1.0264,-0.29516
ENSG00000148584,ENST00000373997,0.69706,0.55302,0.88662,1.1472e-11,0.0078105,0.99219,0.90836,1.0479
ENSG00000175899,ENST00000318602,0.69587,0.60292,0.80586,2.3775000000000003e-29,1.9847e-05,0.99998,0.8363,2.9519
ENSG00000166535,ENST00000299698,0.88516,0.77877,1.0088,4.894e-48,0.77996,0.22004,0.94451,0.99517
ENSG00000184389,ENST00000442999,0.84338,0.55701,1.3185,5.6308e-05,0.2114,0.78854,1.2222,-2.1
ENSG00000128274,ENST00000642412,,,,,,,1.0534,-0.50238
ENSG00000118017,ENST00000236709,0.72034,0.39442,1.4218,0.01744,0.15566,0.8269,0.90408,0.83536
ENSG00000094914,ENST00000209873,0.79336,0.64455,0.98362,1.2767e-16,0.065604,0.9344,0.95788,0.4708
ENSG00000081760,ENST00000316519,0.83061,0.68411,1.0149,7.6017e-20,0.153,0.847,0.98167,0.23219
ENSG00000114771,ENST00000232892,0.7473,0.51143,1.1209,3.4403e-05,0.11108,0.88889,0.98124,0.17418
ENSG00000197953,ENST00000356517,1.0307,0.74163,1.4603,9.2242e-09,0.53413,0.46587,0.97746,0.21126
ENSG00000188984,ENST00000359318,0.95469,0.62157,1.5179,3.778e-05,0.31268,0.68728,1.0396,-0.37708
ENSG00000204518,ENST00000376221,0.63942,0.38546,1.1158,0.0084369,0.089143,0.90242,1.0289,-0.28041
ENSG00000109576,ENST00000337664,0.4445,0.32393,0.62081,0.036927,0.00010311,0.96297,0.75804,2.3316
ENSG00000103591,ENST00000261880,0.86231,0.6655,1.1303,7.6994e-12,0.26182,0.73818,1.2039,-1.6811
ENSG00000115977,ENST00000409085,0.31886,0.24526,0.41948,0.99999,1.1513e-15,7.1109e-06,0.78506,3.1365
ENSG00000087884,ENST00000393427,1.0329,0.69928,1.5688,2.022e-06,0.42703,0.57297,0.97328,0.13714
ENSG00000127837,ENST00000248450,0.23491,0.15053,0.38061,0.99996,2.1418e-10,4.0525e-05,0.75017,2.5151
ENSG00000129673,ENST00000392492,0.70585,0.44431,1.1683,0.0015116,0.11266,0.88583,0.96526,0.25507
ENSG00000131043,ENST00000320849,1.1506,0.86472,1.5529,1.8883e-12,0.82654,0.17346,0.87527,1.1791
ENSG00000205002,ENST00000378279,0.96699,0.58292,1.6874,0.0006176,0.28619,0.71319,1.1224,-0.7571
ENSG00000090861,ENST00000261772,0.66116,0.54672,0.8044,8.9472e-16,0.00025852,0.99974,0.96743,0.48778
ENSG00000124608,ENST00000244571,0.6518,0.54292,0.78689,1.2266e-16,8.8031e-05,0.99991,0.89596,1.5945
ENSG00000266967,ENST00000427569,0.90327,0.70954,1.1614,3.8859e-14,0.42234,0.57766,0.97689,0.22541
ENSG00000157426,ENST00000205214,0.79137,0.66138,0.952,5.2561e-22,0.039058,0.96094,0.95009,0.75737
ENSG00000149313,ENST00000278618,0.63149,0.45437,0.89466,2.2188e-05,0.017796,0.98218,0.99682,0.026383
ENSG00000008311,ENST00000417368,0.81618,0.68566,0.97647,4.8684000000000005e-24,0.087198,0.9128,0.91669,1.2014
ENSG00000275700,ENST00000619387,0.75341,0.59773,0.9583,8.5421e-13,0.034551,0.96545,0.93186,0.76099
ENSG00000181409,ENST00000326724,0.79613,0.672,0.9477,9.600200000000001e-25,0.037892,0.96211,1.1073,-2.0284
ENSG00000183044,ENST00000268251,0.69614,0.54826,0.89253,5.5354e-11,0.0094848,0.99052,0.96141,0.42226
ENSG00000165029,ENST00000374736,0.50662,0.44013,0.58506,5.5124e-15,1.0479e-14,1.0,0.8828,2.6343
ENSG00000154263,ENST00000690296,0.90118,0.79526,1.0238,1.7034e-51,0.91614,0.083857,0.95287,0.85577
ENSG00000144452,ENST00000272895,0.53149,0.46666,0.60699,1.595e-20,3.4717e-15,1.0,0.90511,2.2496
ENSG00000179869,ENST00000435803,0.99427,0.92253,1.0726,3.6622e-161,1.0,5.3345e-11,1.0253,-0.82882
ENSG00000107331,ENST00000341511,0.31959,0.26794,0.38317,1.0,4.5021000000000005e-34,1.2071e-12,0.78158,5.4365
ENSG00000167972,ENST00000301732,0.50915,0.42856,0.60789,1.9167e-10,4.6561e-10,1.0,0.94047,1.218
ENSG00000198691,ENST00000370225,0.7432,0.66166,0.83664,2.7091e-48,2.4684e-05,0.99998,0.9779,0.50352
ENSG00000154265,ENST00000392676,0.79115,0.6966,0.90093,3.2404999999999998e-43,0.0058485,0.99415,0.97181,0.5259
ENSG00000154262,ENST00000284425,0.8579,0.75566,0.97655,3.4617e-47,0.39712,0.60288,1.0338,-0.62655
ENSG00000064687,ENST00000263094,1.1467,1.0367,1.2705,1.3812e-100,1.0,1.4739e-10,1.139,-3.2055
ENSG00000141338,ENST00000586539,0.92061,0.8147,1.0428,2.6103000000000002e-55,0.9778,0.022199,1.0054,-0.099613
ENSG00000154258,ENST00000340001,0.89116,0.79021,1.0074,5.9649e-55,0.88355,0.11645,0.94382,1.0479
ENSG00000085563,ENST00000622132,0.48578,0.40009,0.59354,5.4018e-07,5.3383e-09,1.0,0.85292,2.4734
ENSG00000135776,ENST00000344517,0.82566,0.66353,1.0358,1.1119e-15,0.14949,0.85051,0.86624,1.7827
ENSG00000073734,ENST00000650372,0.64191,0.54374,0.76126,1.4777e-19,7.9068e-06,0.99999,0.94138,1.0056
ENSG00000005471,ENST00000649586,0.52178,0.4336,0.63148,6.1125e-10,2.1093e-08,1.0,0.79452,3.4537
